"","Data Series","Time","Exports"
"232","Oceania (Million Dollars)","2019 Feb",1754
"233","Oceania (Million Dollars)","2019 Jan",2046.4
"234","Oceania (Million Dollars)","2018 Dec",2115.7
"235","Oceania (Million Dollars)","2018 Nov",2698.2
"236","Oceania (Million Dollars)","2018 Oct",2849
"237","Oceania (Million Dollars)","2018 Sep",2074.6
"238","Oceania (Million Dollars)","2018 Aug",2343.5
"239","Oceania (Million Dollars)","2018 Jul",2314.2
"240","Oceania (Million Dollars)","2018 Jun",2190
"241","Oceania (Million Dollars)","2018 May",2301.3
"242","Oceania (Million Dollars)","2018 Apr",2574.4
"243","Oceania (Million Dollars)","2018 Mar",2197.9
"244","Oceania (Million Dollars)","2018 Feb",2059.3
"245","Oceania (Million Dollars)","2018 Jan",2147.9
"246","Africa (Million Dollars)","2022 Jan",688.8
"247","Africa (Million Dollars)","2021 Dec",722.8
"248","Africa (Million Dollars)","2021 Nov",859.6
"249","Africa (Million Dollars)","2021 Oct",756.4
"250","Africa (Million Dollars)","2021 Sep",596.6
"251","Africa (Million Dollars)","2021 Aug",571.4
"252","Africa (Million Dollars)","2021 Jul",603.1
"253","Africa (Million Dollars)","2021 Jun",630.8
"254","Africa (Million Dollars)","2021 May",610.3
"255","Africa (Million Dollars)","2021 Apr",766.6
"256","Africa (Million Dollars)","2021 Mar",634.5
"257","Africa (Million Dollars)","2021 Feb",525
"258","Africa (Million Dollars)","2021 Jan",468.3
"259","Africa (Million Dollars)","2020 Dec",463.5
"260","Africa (Million Dollars)","2020 Nov",504.5
"261","Africa (Million Dollars)","2020 Oct",510.4
"262","Africa (Million Dollars)","2020 Sep",572.5
"263","Africa (Million Dollars)","2020 Aug",522.3
"264","Africa (Million Dollars)","2020 Jul",460.6
"265","Africa (Million Dollars)","2020 Jun",452.1
"266","Africa (Million Dollars)","2020 May",412.8
"267","Africa (Million Dollars)","2020 Apr",568.8
"268","Africa (Million Dollars)","2020 Mar",916.5
"269","Africa (Million Dollars)","2020 Feb",841
"270","Africa (Million Dollars)","2020 Jan",721.8
"271","Africa (Million Dollars)","2019 Dec",503.6
"272","Africa (Million Dollars)","2019 Nov",432.3
"273","Africa (Million Dollars)","2019 Oct",606.7
"274","Africa (Million Dollars)","2019 Sep",563.4
"275","Africa (Million Dollars)","2019 Aug",625.7
"276","Africa (Million Dollars)","2019 Jul",734.7
"277","Africa (Million Dollars)","2019 Jun",873.9
"278","Africa (Million Dollars)","2019 May",761.3
"279","Africa (Million Dollars)","2019 Apr",703.1
"280","Africa (Million Dollars)","2019 Mar",784.6
"281","Africa (Million Dollars)","2019 Feb",658
"282","Africa (Million Dollars)","2019 Jan",647.4
"283","Africa (Million Dollars)","2018 Dec",722.2
"284","Africa (Million Dollars)","2018 Nov",842.7
"285","Africa (Million Dollars)","2018 Oct",658.9
"286","Africa (Million Dollars)","2018 Sep",756.1
