"","Data Series","Time","Imports"
"252","Africa (Million Dollars)","2021 Jul",613.8
"253","Africa (Million Dollars)","2021 Jun",660.2
"254","Africa (Million Dollars)","2021 May",305.4
"255","Africa (Million Dollars)","2021 Apr",579.6
"256","Africa (Million Dollars)","2021 Mar",902.2
"257","Africa (Million Dollars)","2021 Feb",818.5
"258","Africa (Million Dollars)","2021 Jan",579.9
"259","Africa (Million Dollars)","2020 Dec",649.4
"260","Africa (Million Dollars)","2020 Nov",498.6
"261","Africa (Million Dollars)","2020 Oct",313.5
"262","Africa (Million Dollars)","2020 Sep",297.2
"263","Africa (Million Dollars)","2020 Aug",476.5
"264","Africa (Million Dollars)","2020 Jul",440.6
"265","Africa (Million Dollars)","2020 Jun",238.2
"266","Africa (Million Dollars)","2020 May",409.6
"267","Africa (Million Dollars)","2020 Apr",372.6
"268","Africa (Million Dollars)","2020 Mar",559.4
"269","Africa (Million Dollars)","2020 Feb",666.1
"270","Africa (Million Dollars)","2020 Jan",528.6
"271","Africa (Million Dollars)","2019 Dec",521.4
"272","Africa (Million Dollars)","2019 Nov",642
"273","Africa (Million Dollars)","2019 Oct",583.2
"274","Africa (Million Dollars)","2019 Sep",290.4
"275","Africa (Million Dollars)","2019 Aug",648.6
"276","Africa (Million Dollars)","2019 Jul",430
"277","Africa (Million Dollars)","2019 Jun",492.6
"278","Africa (Million Dollars)","2019 May",422.5
"279","Africa (Million Dollars)","2019 Apr",382.4
"280","Africa (Million Dollars)","2019 Mar",390
"281","Africa (Million Dollars)","2019 Feb",413
"282","Africa (Million Dollars)","2019 Jan",262.8
"283","Africa (Million Dollars)","2018 Dec",391.1
"284","Africa (Million Dollars)","2018 Nov",426.5
"285","Africa (Million Dollars)","2018 Oct",399.1
"286","Africa (Million Dollars)","2018 Sep",317.9
"287","Africa (Million Dollars)","2018 Aug",352.6
"288","Africa (Million Dollars)","2018 Jul",533
"289","Africa (Million Dollars)","2018 Jun",334.9
"290","Africa (Million Dollars)","2018 May",533.2
"291","Africa (Million Dollars)","2018 Apr",282.7
"292","Africa (Million Dollars)","2018 Mar",333.2
"293","Africa (Million Dollars)","2018 Feb",399.8
"294","Africa (Million Dollars)","2018 Jan",398.1
"295","European Union (Million Dollars)","2022 Jan",4575.3
"296","European Union (Million Dollars)","2021 Dec",4974.6
"297","European Union (Million Dollars)","2021 Nov",4664.2
"298","European Union (Million Dollars)","2021 Oct",4643.1
"299","European Union (Million Dollars)","2021 Sep",4988.2
"300","European Union (Million Dollars)","2021 Aug",4368.9
"301","European Union (Million Dollars)","2021 Jul",4730
"302","European Union (Million Dollars)","2021 Jun",5146.6
"303","European Union (Million Dollars)","2021 May",4755.5
"304","European Union (Million Dollars)","2021 Apr",4607.1
"305","European Union (Million Dollars)","2021 Mar",5445.5
"306","European Union (Million Dollars)","2021 Feb",3709
"307","European Union (Million Dollars)","2021 Jan",3832.5
"308","European Union (Million Dollars)","2020 Dec",4251.3
"309","European Union (Million Dollars)","2020 Nov",4373.3
"310","European Union (Million Dollars)","2020 Oct",4632.5
"311","European Union (Million Dollars)","2020 Sep",3766.5
"312","European Union (Million Dollars)","2020 Aug",3345.4
"313","European Union (Million Dollars)","2020 Jul",3735.5
"314","European Union (Million Dollars)","2020 Jun",3422.9
"315","European Union (Million Dollars)","2020 May",2910.1
"316","European Union (Million Dollars)","2020 Apr",3662.7
"317","European Union (Million Dollars)","2020 Mar",4178.2
"318","European Union (Million Dollars)","2020 Feb",3933.2
"319","European Union (Million Dollars)","2020 Jan",4370.9
"320","European Union (Million Dollars)","2019 Dec",4237.7
"321","European Union (Million Dollars)","2019 Nov",4618.5
"322","European Union (Million Dollars)","2019 Oct",4440.7
"323","European Union (Million Dollars)","2019 Sep",4104.9
"324","European Union (Million Dollars)","2019 Aug",4356.7
"325","European Union (Million Dollars)","2019 Jul",4416.3
"326","European Union (Million Dollars)","2019 Jun",3848.5
"327","European Union (Million Dollars)","2019 May",5026.8
"328","European Union (Million Dollars)","2019 Apr",4292.1
"329","European Union (Million Dollars)","2019 Mar",4512.9
"330","European Union (Million Dollars)","2019 Feb",3657
"331","European Union (Million Dollars)","2019 Jan",4418.9
"332","European Union (Million Dollars)","2018 Dec",4956.2
"333","European Union (Million Dollars)","2018 Nov",4955.1
"334","European Union (Million Dollars)","2018 Oct",4681.2
"335","European Union (Million Dollars)","2018 Sep",4882.5
"336","European Union (Million Dollars)","2018 Aug",4716.8
"337","European Union (Million Dollars)","2018 Jul",5038
"338","European Union (Million Dollars)","2018 Jun",4255.6
"339","European Union (Million Dollars)","2018 May",4794.9
"340","European Union (Million Dollars)","2018 Apr",3958.2
"341","European Union (Million Dollars)","2018 Mar",4344.5
